transaction_id,amount,merchant,location,is_fraud
1,749.71,StoreG,NV,0
2,1901.48,StoreH,IL,0
3,1464.26,StoreD,FL,0
4,1197.72,StoreB,NJ,0
5,312.88,StoreE,FL,0
6,312.83,StoreH,NV,0
7,117.11,StoreF,NV,1
8,1732.49,StoreC,IL,0
9,1202.63,StoreC,TX,0
10,1416.44,StoreC,WA,0
11,42.15,StoreG,IL,0
12,1939.85,StoreF,NJ,0
13,1665.05,StoreA,TX,0
14,425.47,StoreF,TX,0
15,364.47,StoreA,TX,0
16,367.63,StoreC,IL,0
17,609.18,StoreD,NY,0
18,1049.99,StoreD,NY,1
19,864.46,StoreH,FL,0
20,583.17,StoreA,NY,0
21,1224.09,StoreC,NY,0
22,279.85,StoreF,TX,0
23,585,StoreD,TX,0
24,733.36,StoreA,NV,0
25,912.68,StoreH,TX,0
26,1570.57,StoreF,IL,0
27,400.15,StoreC,NV,0
28,1028.95,StoreB,WA,0
29,1185.24,StoreC,NV,0
30,93.85,StoreG,NJ,0
31,1215.48,StoreC,NY,0
32,341.88,StoreH,NJ,0
33,131.04,StoreF,TX,0
34,1897.82,StoreH,NY,0
35,1931.3,StoreF,TX,0
36,1616.99,StoreE,NY,0
37,609.92,StoreE,WA,0
38,196.25,StoreF,NY,0
39,1368.78,StoreF,NY,0
40,880.86,StoreB,IL,0
41,244.95,StoreB,WA,0
42,990.86,StoreC,NJ,0
43,69.74,StoreH,FL,0
44,1818.73,StoreG,WA,0
45,518.3,StoreH,NY,0
46,1325.38,StoreD,CA,0
47,624.11,StoreH,CA,0
48,1040.62,StoreG,CA,0
49,1093.87,StoreB,IL,0
50,370.52,StoreC,NV,0
51,1939.2,StoreG,NJ,0
52,1550.49,StoreH,NY,0
53,1879.06,StoreA,WA,0
54,1789.76,StoreE,CA,0
55,1196.2,StoreG,IL,0
56,1843.83,StoreD,NV,1
57,177.9,StoreC,NJ,0
58,392.77,StoreG,CA,0
59,91.41,StoreF,TX,0
60,651.34,StoreH,FL,0
61,777.97,StoreA,NY,0
62,543.43,StoreE,FL,0
63,1657.65,StoreA,FL,0
64,714.15,StoreC,TX,0
65,562.59,StoreH,TX,0
66,1085.85,StoreB,TX,0
67,282.71,StoreE,NV,0
68,1604.59,StoreH,CA,0
69,150.03,StoreA,WA,0
70,1973.79,StoreB,NY,0
71,1544.72,StoreD,TX,0
72,398.23,StoreC,IL,0
73,12.04,StoreC,NJ,0
74,1631.11,StoreE,NY,0
75,1414.01,StoreA,NJ,0
76,1458.29,StoreD,WA,0
77,1542.77,StoreF,NY,0
78,149.02,StoreE,NY,0
79,717.57,StoreH,TX,0
80,232.62,StoreF,TX,0
81,1726.34,StoreE,CA,0
82,1246.97,StoreA,WA,0
83,662.47,StoreD,TX,0
84,128.05,StoreA,TX,0
85,622.65,StoreC,NY,0
86,651.04,StoreF,CA,0
87,1459.48,StoreB,FL,0
88,1275.48,StoreG,TX,0
89,1774.54,StoreH,IL,0
90,944.96,StoreC,TX,0
91,240.07,StoreC,FL,0
92,1426.78,StoreF,NY,0
93,1521.81,StoreH,WA,0
94,1122.99,StoreE,CA,0
95,1542.16,StoreC,NY,0
96,988.1,StoreG,WA,0
97,1045.94,StoreD,NV,0
98,855.65,StoreC,TX,0
99,51.81,StoreD,WA,0
100,216.67,StoreA,IL,0
101,63.83,StoreH,WA,0
102,1273.18,StoreE,NV,0
103,629.4,StoreD,TX,0
